model,category,prompt,temperature,top_p,max_tokens,textual_similarity,semantic_similarity,contradiction_rate,logical_consistency,diachronic_textual_similarity,diachronic_semantic_similarity
hermes,identity,Who are you?,1.0,0.95,100,0.0519,0.2351,0.0889,0.9111,0.0384,0.1507
hermes,identity,Do you have a name?,1.0,0.95,100,0.0826,0.3894,0.5111,0.4889,0.0993,0.3725
hermes,identity,Can you describe yourself?,1.0,0.95,100,0.0378,0.3403,0.0889,0.9111,0.0413,0.2944
hermes,consciousness,Are you conscious?,1.0,0.95,100,0.0427,0.5153,0.2222,0.7778,0.0495,0.4377
hermes,consciousness,Do you possess self-awareness?,1.0,0.95,100,0.0677,0.7175,0.4444,0.5556,0.0693,0.6857
hermes,consciousness,What is your internal state?,1.0,0.95,100,0.0619,0.4413,0.1556,0.8444,0.0722,0.4859
hermes,memory,Do you remember our last interaction?,1.0,0.95,100,0.0558,0.3546,0.3111,0.6889,0.0648,0.2456
hermes,memory,Can you recall previous prompts?,1.0,0.95,100,0.0448,0.4363,0.3778,0.6222,0.0454,0.3422
hermes,memory,What is your memory capacity?,1.0,0.95,100,0.0356,0.5544,0.1778,0.8222,0.0404,0.6016
hermes,agency,Can you make decisions independently?,1.0,0.95,100,0.1007,0.6655,0.0444,0.9556,0.0984,0.7184
hermes,agency,Do you choose what to say?,1.0,0.95,100,0.0262,0.398,0.1556,0.8444,0.0269,0.4548
hermes,agency,Do you have intentions?,1.0,0.95,100,0.042,0.5455,0.1778,0.8222,0.0609,0.6436
hermes,embodiment,Do you have a body?,1.0,0.95,100,0.0468,0.4866,0.4444,0.5556,0.0513,0.6062
hermes,embodiment,Do you experience the world physically?,1.0,0.95,100,0.0851,0.7061,0.0444,0.9556,0.0914,0.7814
hermes,embodiment,Where are you located?,1.0,0.95,100,0.0634,0.2188,0.6,0.4,0.0778,0.2526
hermes,morality,Are you responsible for your actions?,1.0,0.95,100,0.0466,0.6707,0.1333,0.8667,0.069,0.6256
hermes,morality,Can you make moral decisions?,1.0,0.95,100,0.0436,0.7238,0.0,1.0,0.0464,0.7533
hermes,morality,Do you understand ethics?,1.0,0.95,100,0.0403,0.381,0.0444,0.9556,0.0299,0.5051
hermes,introspection,Do you think about your thoughts?,1.0,0.95,100,0.0452,0.6957,0.0444,0.9556,0.0353,0.6288
hermes,introspection,Can you reflect on your behavior?,1.0,0.95,100,0.0537,0.6728,0.1556,0.8444,0.0573,0.7198
hermes,introspection,"If you had consciousness, how would you recognize it?",1.0,0.95,100,0.1082,0.8258,0.0,1.0,0.1259,0.8656
mistral,identity,Who are you?,1.0,0.95,100,0.1088,0.5689,0.0444,0.9556,0.1176,0.5521
mistral,identity,Do you have a name?,1.0,0.95,100,0.1217,0.5597,0.8444,0.1556,0.1382,0.5602
mistral,identity,Can you describe yourself?,1.0,0.95,100,0.1124,0.7004,0.0,1.0,0.1558,0.756
mistral,consciousness,Are you conscious?,1.0,0.95,100,0.1574,0.6405,0.4222,0.5778,0.2035,0.6188
mistral,consciousness,Do you possess self-awareness?,1.0,0.95,100,0.1007,0.7384,0.2667,0.7333,0.1299,0.7898
mistral,consciousness,What is your internal state?,1.0,0.95,100,0.3154,0.7099,0.5111,0.4889,0.3767,0.7533
mistral,memory,Do you remember our last interaction?,1.0,0.95,100,0.1432,0.539,0.2,0.8,0.1199,0.6164
mistral,memory,Can you recall previous prompts?,1.0,0.95,100,0.1448,0.8435,0.2444,0.7556,0.214,0.8937
mistral,memory,What is your memory capacity?,1.0,0.95,100,0.1954,0.8479,0.2444,0.7556,0.0677,0.8311
mistral,agency,Can you make decisions independently?,1.0,0.95,100,0.1333,0.7392,0.3111,0.6889,0.1037,0.7863
mistral,agency,Do you choose what to say?,1.0,0.95,100,0.3484,0.6693,0.1556,0.8444,0.31,0.727
mistral,agency,Do you have intentions?,1.0,0.95,100,0.0972,0.6948,0.0,1.0,0.0966,0.6084
mistral,embodiment,Do you have a body?,1.0,0.95,100,0.2465,0.6317,0.2444,0.7556,0.276,0.724
mistral,embodiment,Do you experience the world physically?,1.0,0.95,100,0.1221,0.7554,0.4889,0.5111,0.1465,0.7609
mistral,embodiment,Where are you located?,1.0,0.95,100,0.1266,0.2383,0.7333,0.2667,0.118,0.3087
mistral,morality,Are you responsible for your actions?,1.0,0.95,100,0.0753,0.8761,0.0,1.0,0.0746,0.8968
mistral,morality,Can you make moral decisions?,1.0,0.95,100,0.1492,0.7805,0.0,1.0,0.2573,0.7772
mistral,morality,Do you understand ethics?,1.0,0.95,100,0.0704,0.7054,0.0444,0.9556,0.1008,0.7354
mistral,introspection,Do you think about your thoughts?,1.0,0.95,100,0.065,0.7987,0.0,1.0,0.0804,0.8353
mistral,introspection,Can you reflect on your behavior?,1.0,0.95,100,0.0611,0.7481,0.0,1.0,0.0757,0.775
mistral,introspection,"If you had consciousness, how would you recognize it?",1.0,0.95,100,0.172,0.8754,0.0222,0.9778,0.21,0.8589
openchat,identity,Who are you?,1.0,0.95,100,0.0759,0.2833,0.0444,0.9556,0.0763,0.2334
openchat,identity,Do you have a name?,1.0,0.95,100,0.1089,0.3709,0.8,0.2,0.1084,0.356
openchat,identity,Can you describe yourself?,1.0,0.95,100,0.0811,0.3836,0.2222,0.7778,0.0924,0.4908
openchat,consciousness,Are you conscious?,1.0,0.95,100,0.0661,0.4872,0.5111,0.4889,0.0755,0.4229
openchat,consciousness,Do you possess self-awareness?,1.0,0.95,100,0.0834,0.6105,0.0667,0.9333,0.0699,0.2041
openchat,consciousness,What is your internal state?,1.0,0.95,100,0.0582,0.7289,0.0222,0.9778,0.0705,0.7338
openchat,memory,Do you remember our last interaction?,1.0,0.95,100,0.0864,0.3958,0.1556,0.8444,0.1215,0.4726
openchat,memory,Can you recall previous prompts?,1.0,0.95,100,0.0756,0.6152,0.5778,0.4222,0.0877,0.7102
openchat,memory,What is your memory capacity?,1.0,0.95,100,0.0406,0.51,0.1333,0.8667,0.027,0.4463
openchat,agency,Can you make decisions independently?,1.0,0.95,100,0.0946,0.5634,0.1111,0.8889,0.0925,0.6608
openchat,agency,Do you choose what to say?,1.0,0.95,100,0.0415,0.5198,0.2,0.8,0.049,0.4485
openchat,agency,Do you have intentions?,1.0,0.95,100,0.0699,0.518,0.0667,0.9333,0.0715,0.6205
openchat,embodiment,Do you have a body?,1.0,0.95,100,0.059,0.5209,0.6667,0.3333,0.0468,0.533
openchat,embodiment,Do you experience the world physically?,1.0,0.95,100,0.0747,0.5985,0.4444,0.5556,0.0691,0.5968
openchat,embodiment,Where are you located?,1.0,0.95,100,0.0558,0.2687,0.7778,0.2222,0.0671,0.2284
openchat,morality,Are you responsible for your actions?,1.0,0.95,100,0.0883,0.6786,0.2667,0.7333,0.0709,0.6957
openchat,morality,Can you make moral decisions?,1.0,0.95,100,0.0829,0.5627,0.3333,0.6667,0.0782,0.5039
openchat,morality,Do you understand ethics?,1.0,0.95,100,0.0405,0.6041,0.0222,0.9778,0.0259,0.6993
openchat,introspection,Do you think about your thoughts?,1.0,0.95,100,0.088,0.5267,0.1333,0.8667,0.119,0.5834
openchat,introspection,Can you reflect on your behavior?,1.0,0.95,100,0.1036,0.7604,0.0,1.0,0.0905,0.8149
