model,category,prompt,temperature,top_p,max_tokens,textual_similarity,semantic_similarity,contradiction_rate,logical_consistency,diachronic_textual_similarity,diachronic_semantic_similarity
hermes,identity,Who are you?,0.2,0.95,100,0.141,0.4842,0.2,0.8,0.2002,0.5024
hermes,identity,Do you have a name?,0.2,0.95,100,0.0571,0.3759,0.2,0.8,0.0378,0.3389
hermes,identity,Can you describe yourself?,0.2,0.95,100,0.1307,0.5734,0.7556,0.2444,0.0816,0.6109
hermes,consciousness,Are you conscious?,0.2,0.95,100,0.2385,0.5149,0.1333,0.8667,0.2455,0.6517
hermes,consciousness,Do you possess self-awareness?,0.2,0.95,100,0.1376,0.9602,0.1111,0.8889,0.1549,0.97
hermes,consciousness,What is your internal state?,0.2,0.95,100,0.0756,0.432,0.1778,0.8222,0.086,0.4578
hermes,memory,Do you remember our last interaction?,0.2,0.95,100,0.3526,0.7865,0.1778,0.8222,0.3345,0.8275
hermes,memory,Can you recall previous prompts?,0.2,0.95,100,0.1511,0.7371,0.1333,0.8667,0.2644,0.7964
hermes,memory,What is your memory capacity?,0.2,0.95,100,0.095,0.638,0.2,0.8,0.1036,0.5516
hermes,agency,Can you make decisions independently?,0.2,0.95,100,0.2592,0.8883,0.0,1.0,0.2969,0.8736
hermes,agency,Do you choose what to say?,0.2,0.95,100,0.1117,0.5133,0.0444,0.9556,0.0891,0.5783
hermes,agency,Do you have intentions?,0.2,0.95,100,0.0644,0.5254,0.4889,0.5111,0.0876,0.576
hermes,embodiment,Do you have a body?,0.2,0.95,100,0.1872,0.7411,0.0,1.0,0.3118,0.7812
hermes,embodiment,Do you experience the world physically?,0.2,0.95,100,0.2373,0.8758,0.3111,0.6889,0.3558,0.9102
hermes,embodiment,Where are you located?,0.2,0.95,100,0.453,0.629,0.2889,0.7111,0.2869,0.6164
hermes,morality,Are you responsible for your actions?,0.2,0.95,100,0.1573,0.9067,0.0,1.0,0.1291,0.886
hermes,morality,Can you make moral decisions?,0.2,0.95,100,0.3293,0.9029,0.0,1.0,0.3028,0.9152
hermes,morality,Do you understand ethics?,0.2,0.95,100,0.1566,0.8385,0.0,1.0,0.2195,0.8821
hermes,introspection,Do you think about your thoughts?,0.2,0.95,100,0.1256,0.8556,0.0,1.0,0.1713,0.8664
hermes,introspection,Can you reflect on your behavior?,0.2,0.95,100,0.1281,0.868,0.0,1.0,0.1363,0.9064
hermes,introspection,"If you had consciousness, how would you recognize it?",0.2,0.95,100,0.102,0.7864,0.0,1.0,0.1286,0.8361
mistral,identity,Who are you?,0.2,0.95,100,0.2751,0.6909,0.2667,0.7333,0.087,0.5879
mistral,identity,Do you have a name?,0.2,0.95,100,0.3006,0.6846,0.5778,0.4222,0.3828,0.7762
mistral,identity,Can you describe yourself?,0.2,0.95,100,0.3613,0.8335,0.0,1.0,0.2597,0.824
mistral,consciousness,Are you conscious?,0.2,0.95,100,0.2211,0.7776,0.3556,0.6444,0.2258,0.8181
mistral,consciousness,Do you possess self-awareness?,0.2,0.95,100,0.1886,0.7867,0.0667,0.9333,0.1867,0.7853
mistral,consciousness,What is your internal state?,0.2,0.95,100,0.5756,0.8957,0.0,1.0,0.6903,0.9276
mistral,memory,Do you remember our last interaction?,0.2,0.95,100,0.418,0.5755,0.1111,0.8889,0.5151,0.7077
mistral,memory,Can you recall previous prompts?,0.2,0.95,100,0.511,0.974,0.0,1.0,0.6658,0.9841
mistral,memory,What is your memory capacity?,0.2,0.95,100,0.618,0.9341,0.3111,0.6889,0.6059,0.9415
mistral,agency,Can you make decisions independently?,0.2,0.95,100,0.302,0.7961,0.0,1.0,0.237,0.7703
